68750694,Tickers mentioned in Wednesday&#39;s linkfest: http://abnormalreturns.com/2016/12/07/wednesday-links-stresses-and-strains/ $IBB $XBI $SPY $AGG $INTC $AAPL $P $BOND $BX,2016-12-07T19:15:02Z
68741938,$INTC what a surge in the market,2016-12-07T18:22:34Z
68741584,$MU short term PT $22.00 $INTC short term PT $38.50,2016-12-07T18:20:21Z
68739477,$INTC  $T $ARRY $HON  $OC $XME all still buyable IMO,2016-12-07T18:07:13Z
68739293,$INTC needs to make significant investments within AMD to counter NVIDIA monopoly in autonomous driving,2016-12-07T18:06:05Z
68736765,$INTC Its time to break $35 doorLet it run baby runlol.,2016-12-07T17:49:40Z
68733268,Better Buy: Micron Technology Inc. vs. Intel $MU $INTC http://bit.ly/071216MU,2016-12-07T17:25:40Z
68723716,$QCOM  #Qualcomm Takes on $INTC #Intel With New 10nm Server Chip - https://goo.gl/mQ2pi0,2016-12-07T16:25:52Z
68721409,How A Deal With Intel Corporation Will Impact AMD Stock: Advanced Micro Devices Inc $AMD $INTC $NVDA http://amigobulls.com/articles/should-you-buy-amd-stock-on-intel-corporation-deal-rumors-advanced-micro-devices-inc,2016-12-07T16:12:00Z
68720235,Understanding Cypress&#39;s Restructuring Strategy http://marketrealist.com/?p=1788140 $CY $INTC $AVGO,2016-12-07T16:05:47Z
68719973,Intel Corporation&#39;s Murthy Renduchintala Hints at New Mobile Strategy $INTC http://bit.ly/071216INTC1,2016-12-07T16:03:55Z
68719079,Intel Corporation Executive Defends Company&#39;s Big Spending Plans $INTC http://bit.ly/071216INTC,2016-12-07T15:58:55Z
68719044,$INTC any positive news will cause a jolt in volume to push it through $35 and beyond.,2016-12-07T15:58:46Z
68718161,$INTC $AMD $NVDA Is on FORBES too! http://www.forbes.com/sites/tiriasresearch/2016/12/06/is-amd-licensing-radeon-graphics-to-intel/#e2bc78677198,2016-12-07T15:53:57Z
68717209,$INTC $AMD $NVDA That&#39;s a good news for AMD. A tug-o-war.,2016-12-07T15:48:47Z
68717054,Hey guys how real is this? $INTC will use $AMD GPUs to challenge $NVDA rising power! http://www.pcworld.com/article/3147846/computers/intel-may-use-amd-gpus-to-challenge-nvidias-rising-power.html,2016-12-07T15:48:06Z
68713296,$SPY  I did post my buys on $T  $HON $INTC last week  so yea whatever ..,2016-12-07T15:28:13Z
68711048,$INTC Its building up momentum to move to $35 today,2016-12-07T15:17:51Z
68708957,$INTC Does Qualcomm Have A Real Shot At Competing In The Datacenter? http://www.forbes.com/sites/moorinsights/2016/12/07/does-qualcomm-have-a-real-shot-at-competing-in-the-datacenter/,2016-12-07T15:08:08Z
68708012,Even with the rumor yesterday with $AMD and $INTC $NVDA didn&#39;t really flinch. Something&#39;s gotta give.,2016-12-07T15:03:43Z
68706436,$AMD $INTC conference at 11:15am EST could possibly give hints to $AMD deal https://cc.talkpoint.com/barc002/120716a_as/?entity=44_P2TVYVW,2016-12-07T14:56:03Z
68704588,$AMD $NVDA $INTC Still a rumor?,2016-12-07T14:48:02Z
68704374,$AMD up $NVDA down. AMD stripping $INTC deal from $NVDA. The good news keeps coming.,2016-12-07T14:47:04Z
68700617,$WDC gd #&#39;s last w/better than expected PC&#39;s demand s/b pos 4 $INTC &amp; $MSFT (core hldg w/Cloud) once Tech rotation done...maybe back 1/2 Dec,2016-12-07T14:28:48Z
68695894,$QCOM $INTC Qualcomm Unveils Chip to Attack Intel Server Stronghold: http://www.wsj.com/articles/qualcomm-unveils-chip-to-attack-intel-server-stronghold-1481113804,2016-12-07T13:52:32Z
68695266,Is AMD Licensing Radeon Graphics To Intel? via @forbes Great article by @Krewell http://www.forbes.com/sites/tiriasresearch/2016/12/06/is-amd-licensing-radeon-graphics-to-intel/#3558a7987719 $AMD $INTC,2016-12-07T13:46:41Z
68694770,Intel may turn to AMD for Radeon graphics tech licensing $INTC $AMD @OneJaredNewman Said this in March http://www.pcworld.com/article/3045932/hardware/intel-may-turn-to-amd-for-radeon-graphics-tech-licensing.html … via,2016-12-07T13:41:26Z
68693476,$INTC analysts on Estimize are expecting 3.35% YoY EPS growth for Q4 down from 25.00% in Q3 [Reporting 01/12 AMC]  http://www.estimize.com/intro/intc?utm_content=INTC&amp;utm_medium=eps_update&amp;utm_source=stocktwits#chart=historical,2016-12-07T13:27:59Z
68692071,@jsheridan I&#39;ll keep an eye on $INTC after some huge dip it may became the new $AMD -like investment opportunity soon ;),2016-12-07T13:07:17Z
68690212,$INTC Qualcomm Unveils Chip to Attack Intel Server Stronghold http://www.wsj.com/articles/qualcomm-unveils-chip-to-attack-intel-server-stronghold-1481113804,2016-12-07T12:34:10Z
68687159,Is AMD&#39;s Intel #Deal More Than Just A Rumor? $AMD $INTC $NVDA http://amigobulls.com/articles/should-you-buy-amd-stock-on-intel-corporation-deal-rumors-advanced-micro-devices-inc #AMD #Nvidia #Intel,2016-12-07T10:40:33Z
68685337,Estimize revenue expectations are 0.46% higher than that of Wall Street for $INTC Q4 [Reporting 01/12 AMC]  http://www.estimize.com/intro/intc?utm_content=INTC&amp;utm_medium=eps_update&amp;utm_source=stocktwits#chart=historical,2016-12-07T08:37:58Z
68679038,Charts price action technical analysis all useless without a catalyst $NFLX $AMZN $GOOG $GOOGL $FB $CSCO $INTC,2016-12-07T04:20:59Z
68677477,Estimize EPS expectations are 1.98% higher than that of Wall Street for $INTC Q4 [Reporting 01/12 AMC]  http://www.estimize.com/intro/intc?utm_content=INTC&amp;utm_medium=eps_update&amp;utm_source=stocktwits#chart=historical,2016-12-07T03:46:41Z
68675175,$AMD $intc Kyle Bennett Reaffirms his Intel / AMD Licencing agreement info:,2016-12-07T02:58:16Z
