Date,open_price,close_price,high_price,low_price
2013-05-07,62.00,55.51,62.37,55.12
2013-05-06,56.39,59.50,59.66,55.50
2013-05-03,55.91,54.55,56.47,54.50
2013-05-02,53.85,54.11,55.27,53.70
2013-05-01,55.65,53.28,55.99,53.00
2013-04-30,56.00,53.99,58.18,53.76
2013-04-29,51.76,54.94,54.99,51.20
2013-04-26,53.13,51.20,53.74,50.62
2013-04-25,50.50,52.00,52.40,50.50
2013-04-24,50.90,50.43,51.05,48.98
2013-04-23,51.00,51.01,52.92,50.66
2013-04-22,48.60,50.19,50.20,47.75
2013-04-19,47.98,47.83,49.88,47.07
2013-04-18,45.98,46.97,47.60,45.39
2013-04-17,45.50,45.45,45.95,44.54
2013-04-16,44.19,45.59,46.14,43.91
2013-04-15,43.50,43.30,43.80,42.51
2013-04-12,43.25,43.75,45.14,43.05
2013-04-11,42.06,43.59,44.55,41.75
2013-04-10,40.70,41.86,42.01,40.61
2013-04-09,41.80,40.50,41.83,40.33
2013-04-08,41.97,41.83,42.55,41.51
2013-04-05,41.50,41.37,42.00,40.50
2013-04-04,41.11,42.01,42.25,40.81
2013-04-03,43.10,41.10,43.47,40.21
2013-04-02,43.60,44.34,45.50,43.51
2013-04-01,42.24,43.93,46.68,41.70
2013-03-28,38.23,37.89,38.24,37.75
2013-03-27,37.94,38.16,38.38,37.31
2013-03-26,37.98,37.86,38.22,37.66
2013-03-25,37.10,37.53,38.52,36.77
2013-03-22,36.20,36.62,36.80,36.20
2013-03-21,35.95,36.01,37.06,35.74
2013-03-20,35.26,35.95,36.07,35.16
2013-03-19,35.25,35.08,35.60,34.94
2013-03-18,35.30,35.15,36.06,34.92
2013-03-15,36.64,35.29,36.65,35.21
2013-03-14,38.90,36.85,38.91,36.77
2013-03-13,39.00,38.98,39.49,38.81
2013-03-12,38.90,39.12,39.38,38.85
2013-03-11,38.87,39.10,39.44,38.65
2013-03-08,38.06,38.47,39.44,37.36
2013-03-07,37.73,38.23,38.65,36.88
2013-03-06,37.01,37.69,37.88,36.97
2013-03-05,36.00,36.65,36.92,35.79
2013-03-04,34.77,35.58,35.83,34.70
2013-03-01,35.00,34.65,35.08,34.25
2013-02-28,35.89,34.83,36.10,34.37
2013-02-27,34.41,35.10,35.41,34.40
2013-02-26,34.46,34.43,34.96,33.80
2013-02-25,36.15,34.38,36.75,34.34
2013-02-22,35.72,36.11,36.39,35.60
2013-02-21,36.49,35.16,37.39,34.54
2013-02-20,39.30,38.54,39.65,38.46
2013-02-19,37.36,39.28,39.29,37.31
2013-02-15,38.50,37.04,38.51,36.95
2013-02-14,38.64,38.30,38.75,38.21
2013-02-13,38.30,38.45,39.00,38.05
2013-02-12,38.45,37.89,38.87,37.29
2013-02-11,37.98,38.42,39.15,37.50
2013-02-08,39.45,39.24,40.00,39.14
2013-02-07,39.19,39.48,39.68,38.95
2013-02-06,38.09,39.17,39.39,37.90
2013-02-05,38.00,38.13,38.65,37.68
2013-02-04,38.40,37.74,38.42,37.59
2013-02-01,38.17,38.30,38.50,37.62
2013-01-31,37.87,37.51,37.87,36.93
2013-01-30,37.85,37.52,38.00,37.43
2013-01-29,38.02,37.95,38.44,37.13
2013-01-28,36.86,38.03,38.71,36.86
2013-01-25,37.00,36.98,37.54,36.80
2013-01-24,36.00,36.99,37.72,35.84
2013-01-23,35.02,36.00,36.24,34.96
2013-01-22,34.56,35.19,35.55,34.26
2013-01-18,34.74,34.52,34.78,33.82
2013-01-17,34.16,34.38,34.85,33.92
2013-01-16,33.85,34.10,34.23,33.73
2013-01-15,33.11,33.90,34.25,33.08
2013-01-14,33.08,33.26,33.38,32.85
2013-01-11,34.04,32.91,34.04,32.11
