id,text,date
1.25E+18,$INQD $CPE $ABT $ILMN $BRKK $ABCE $CHTR $BIEI $BA $IGEX $MFA $KWBT $TPTW $CYDY $LGNDZ $HD $AMD $MU $CTYX $DECN $TOPS $AAPL $VVUS $TMDI $MSFT $GTE $TSLA $FB $AMZN $BABA $PCTL $INTC $CSCO $CCL $QEP $SPOM $LGND $NSPX,4/4/20 15:13
1.25E+18,"Hi Jason @bondj008 if you don't mind, could you please retweet this poll of mine? Thanks! https://twitter.com/BQInvstTraining/status/1245933605517324288?s=20 $AAPL $AMZN $GOOGL $FB $COST $WMT $NFLX $MSFT $TSLA $DAL $SNAP $DPZ $MCD $CMG $BRKA $DIS $YUM $DLTR",4/4/20 15:09
1.25E+18,A Low Cloud May Ooze Under The Door Then ... $amzn $agn $brk $ba $crm $cmg $dis $f $ge $gm $hlf $iep $ibm $ko $pep $ms $gs $jpm $bac $c $cs $msft $nflx $fb $mcd $qsr $googl $jnj $bmy $pfe $tst $snap $tsla $unh $dal $ual $luv $cat $sbux $fdx $ups $bhc $cpe,4/4/20 15:03
1.25E+18,The last 2 Sundays I've tweeted predictions in the Stock Market based on A.I. software programs I have created. Should I continue to do on Sundays this going forward? #poll #polls #StockMarket #stockstowatch #StocksToTrade $AAPL $SPY $QQQ $FB $IWM $DIA $USO $WTI $GOLD,4/4/20 15:01
1.25E+18,Don't miss our next FREE OPTION TRADE. Sign up for our Daily Free Trades at http://ow.ly/v6US30quHiI $NVDA $TSLA $GS $GILD $WFM $GOOGL $FB,4/4/20 15:01
1.25E+18,#coronavirus Surges In NYC Save Cramer! $amzn $agn $brk $ba $crm $cmg $dis $f $ge $gm $hlf $iep $ibm $ko $pep $ms $gs $jpm $bac $c $cs $msft $nflx $fb $mcd $qsr $googl $jnj $bmy $pfe $tst $snap $tsla $unh $dal $ual $luv $cat $sbux $fdx $ups $bhc $cpe,4/4/20 14:58
1.25E+18,Looking For Overpriced Growth Stocks With No More Growth For Puts. $amzn $agn $brk $ba $crm $cmg $dis $f $ge $gm $hlf $iep $ibm $ko $pep $ms $gs $jpm $bac $c $cs $msft $nflx $fb $mcd $qsr $googl $jnj $bmy $pfe $tst $snap $tsla $unh $dal $ual $luv $cat $sbux $fdx $ups $bhc $cpe,4/4/20 14:52
1.25E+18,Here it is people... Opening my room up for signals ***$39 per month*** if you sign up this weekend (no contract) Capped amount of entries to our close trading family DM me for details. $SPY $SPX $FB $AAPL $AMZN $NFLX $NVDA $GOOG $BA $TSLA $BABA $VIX $QQQ $ROKU $LULU $DIS $X,4/4/20 14:52
1.25E+18,My always free trading DVD is now available for instant streaming. Spend your quarantine time learning from my 22 years of trading experience Watch here https://thelincolnlist.com/rock-solid-dvd/ $SPY $FB $QQQ #StockMarketCrash2020 #SaturdayThoughts #SaturdayMorning,4/4/20 14:51
1.25E+18,Google and Facebook Can’t Save the Advertising Industry This Time https://www.barrons.com/articles/advertising-is-getting-crushed-by-covid-19-why-facebook-google-cant-save-the-industry-51585955751 Con ganas de ver los resultados del Q1-Q2 de Google y Facebook. $FB $GOOGL,4/4/20 14:46
